[ 2025-07-23 15:06:36,902 ] 19 root - INFO - intiating the data ingestion
[ 2025-07-23 15:06:42,157 ] 78 root - INFO - Performed train test split on the dataframe
[ 2025-07-23 15:06:42,157 ] 80 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-23 15:06:42,161 ] 86 root - INFO - Exporting train and test data as a csv into file path.
[ 2025-07-23 15:06:42,189 ] 95 root - INFO - Exported train and test file path.
[ 2025-07-23 15:06:42,189 ] 21 root - INFO - data ingestion completed
[ 2025-07-23 15:06:42,205 ] 27 root - INFO - Initiating data validation
[ 2025-07-23 15:06:42,247 ] 35 root - INFO - Required number of columns:2
[ 2025-07-23 15:06:42,247 ] 36 root - INFO - Data frame has columns:31
[ 2025-07-23 15:06:42,247 ] 35 root - INFO - Required number of columns:2
[ 2025-07-23 15:06:42,247 ] 36 root - INFO - Data frame has columns:31
[ 2025-07-23 15:06:42,366 ] 29 root - INFO - data validation completed
[ 2025-07-23 15:06:42,366 ] 34 root - INFO - Initiating data ingestion
[ 2025-07-23 15:06:42,366 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-23 15:06:42,366 ] 64 root - INFO - Starting data transformation
[ 2025-07-23 15:06:42,369 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-23 15:06:42,369 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-23 15:06:42,392 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:06:42,395 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:06:42,395 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:06:42,396 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:06:42,396 ] 36 root - INFO - data transformation completed
[ 2025-07-23 15:06:42,396 ] 42 root - INFO - Initiating model training
[ 2025-07-23 15:08:46,192 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:08:46,193 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:08:46,193 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:08:46,195 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:08:46,195 ] 103 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_23_2025_15_06_35\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911970049580087, precision_score=0.9916987244381453, recall_score=0.9906957928802589), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.974485596707819, precision_score=0.9728841413311422, recall_score=0.9760923330585326))
[ 2025-07-23 15:08:46,195 ] 44 root - INFO - Model Training Completed
