[ 2025-07-23 15:17:23,412 ] 19 root - INFO - intiating the data ingestion
[ 2025-07-23 15:17:28,335 ] 78 root - INFO - Performed train test split on the dataframe
[ 2025-07-23 15:17:28,335 ] 80 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-23 15:17:28,335 ] 86 root - INFO - Exporting train and test data as a csv into file path.
[ 2025-07-23 15:17:28,367 ] 95 root - INFO - Exported train and test file path.
[ 2025-07-23 15:17:28,367 ] 21 root - INFO - data ingestion completed
[ 2025-07-23 15:17:28,367 ] 27 root - INFO - Initiating data validation
[ 2025-07-23 15:17:28,426 ] 35 root - INFO - Required number of columns:2
[ 2025-07-23 15:17:28,426 ] 36 root - INFO - Data frame has columns:31
[ 2025-07-23 15:17:28,426 ] 35 root - INFO - Required number of columns:2
[ 2025-07-23 15:17:28,427 ] 36 root - INFO - Data frame has columns:31
[ 2025-07-23 15:17:28,549 ] 29 root - INFO - data validation completed
[ 2025-07-23 15:17:28,549 ] 34 root - INFO - Initiating data ingestion
[ 2025-07-23 15:17:28,549 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-23 15:17:28,549 ] 64 root - INFO - Starting data transformation
[ 2025-07-23 15:17:28,573 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-23 15:17:28,573 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-23 15:17:28,580 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:17:28,584 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:17:28,584 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:17:28,584 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:17:28,584 ] 36 root - INFO - data transformation completed
[ 2025-07-23 15:17:28,584 ] 42 root - INFO - Initiating model training
[ 2025-07-23 15:19:33,068 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:19:33,070 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:19:33,070 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 15:19:33,083 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 15:19:33,083 ] 103 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_23_2025_15_17_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916034395548812, precision_score=0.9893015744852645, recall_score=0.9939160413709187), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9725363489499192, precision_score=0.9632, recall_score=0.9820554649265906))
[ 2025-07-23 15:19:33,084 ] 44 root - INFO - Model Training Completed
